workerid,proliferate.condition,question_order,error
1237,mental,lexical,
1135,mental,lexical,
1135,mental,cause,
1240,mental,lexical,
1240,mental,cause,
1095,mental,lexical,
1095,mental,cause,
1148,mental,cause,
1148,mental,lexical,
1188,mental,cause,
1188,mental,lexical,
1203,mental,cause,
1203,mental,lexical,
1117,mental,lexical,
1117,mental,cause,
1185,mental,lexical,
1185,mental,cause,
1105,mental,lexical,
1105,mental,cause,
1247,mental,cause,
1247,mental,lexical,
1181,mental,lexical,
1181,mental,cause,
1099,mental,lexical,
1099,mental,cause,
1198,mental,lexical,
1198,mental,cause,
1305,mental,cause,
1305,mental,lexical,
1101,mental,lexical,
1101,mental,cause,
1245,mental,lexical,
1245,mental,cause,
1251,mental,lexical,
1251,mental,cause,
1121,mental,cause,
1121,mental,lexical,
1293,mental,lexical,
1293,mental,cause,
1177,mental,lexical,
1177,mental,cause,
1257,mental,lexical,
1257,mental,cause,
1207,mental,lexical,
1207,mental,cause,
1115,mental,lexical,
1115,mental,cause,
1235,mental,cause,
1235,mental,lexical,
1193,mental,lexical,
1193,mental,cause,
1219,mental,cause,
1219,mental,lexical,
1227,mental,lexical,
1227,mental,cause,
1224,mental,lexical,
1224,mental,cause,
1111,mental,cause,
1111,mental,lexical,
1261,mental,lexical,
1261,mental,cause,
1195,physical,cause,
1195,physical,lexical,
1308,physical,lexical,
1308,physical,cause,
1088,physical,cause,
1088,physical,lexical,
1104,physical,cause,
1104,physical,lexical,
1210,physical,cause,
1210,physical,lexical,
1096,physical,lexical,
1096,physical,cause,
1250,physical,lexical,
1250,physical,cause,
1221,physical,lexical,
1221,physical,cause,
1276,physical,lexical,
1276,physical,cause,
1132,physical,cause,
1132,physical,lexical,
1214,physical,lexical,
1214,physical,cause,
1120,physical,cause,
1120,physical,lexical,
1174,physical,cause,
1174,physical,lexical,
1083,physical,lexical,
1083,physical,cause,
1094,physical,lexical,
1094,physical,cause,
1134,physical,cause,
1134,physical,lexical,
1290,physical,lexical,
1290,physical,cause,
1162,physical,cause,
1162,physical,lexical,
1116,physical,lexical,
1116,physical,cause,
1180,physical,cause,
1180,physical,lexical,
1294,physical,lexical,
1294,physical,cause,
1256,physical,cause,
1256,physical,lexical,
1298,physical,cause,
1298,physical,lexical,
1186,physical,lexical,
1186,physical,cause,
1260,physical,cause,
1260,physical,lexical,
1267,physical,lexical,
1267,physical,cause,
1230,physical,lexical,
1230,physical,cause,
1176,physical,cause,
1176,physical,lexical,
1272,physical,lexical,
1272,physical,cause,
1100,physical,cause,
1100,physical,lexical,
1239,physical,cause,
1239,physical,lexical,
1289,physical,cause,
1289,physical,lexical,
1299,physical,cause,
1299,physical,lexical,
1086,physical,lexical,
1086,physical,cause,
1118,physical,lexical,
1118,physical,cause,
1137,physical,lexical,
1137,physical,cause,
1218,physical,cause,
1218,physical,lexical,
1252,physical,lexical,
1252,physical,cause,
1286,physical,cause,
1286,physical,lexical,
1238,physical,cause,
1238,physical,lexical,
1160,physical,lexical,
1160,physical,cause,
1141,physical,lexical,
1141,physical,cause,
1228,physical,lexical,
1228,physical,cause,
1248,physical,cause,
1248,physical,lexical,
1285,physical,cause,
1285,physical,lexical,
1225,physical,lexical,
1225,physical,cause,
1166,physical,cause,
1166,physical,lexical,
1300,physical,lexical,
1300,physical,cause,
1139,physical,cause,
1139,physical,lexical,
1110,physical,lexical,
1110,physical,cause,
1125,physical,cause,
1125,physical,lexical,
1112,physical,lexical,
1112,physical,cause,
1201,physical,cause,
1201,physical,lexical,
1090,physical,cause,
1090,physical,lexical,
1187,physical,cause,
1187,physical,lexical,
1306,physical,cause,
1306,physical,lexical,
1269,physical,cause,
1269,physical,lexical,
1232,physical,lexical,
1232,physical,cause,
1122,physical,cause,
1122,physical,lexical,
1309,physical,cause,
1309,physical,lexical,
1216,physical,lexical,
1216,physical,cause,
1170,physical,cause,
1170,physical,lexical,
1143,physical,lexical,
1143,physical,cause,
1296,physical,lexical,
1296,physical,cause,
1281,physical,lexical,
1281,physical,cause,
1130,physical,cause,
1130,physical,lexical,
1212,physical,cause,
1212,physical,lexical,
1122,physical,cause,
1122,physical,lexical,
1275,physical,lexical,
1275,physical,cause,
1168,physical,lexical,
1168,physical,cause,
1244,physical,cause,
1244,physical,lexical,
1265,physical,cause,
1265,physical,lexical,
1098,physical,lexical,
1098,physical,cause,
1102,physical,lexical,
1102,physical,cause,
1304,physical,cause,
1304,physical,lexical,
1236,physical,cause,
1236,physical,lexical,
1292,physical,cause,
1292,physical,lexical,
1149,physical,lexical,
1149,physical,cause,
1145,physical,lexical,
1145,physical,cause,
1199,physical,cause,
1199,physical,lexical,
1106,physical,lexical,
1106,physical,cause,
1156,physical,lexical,
1156,physical,cause,
1128,physical,lexical,
1128,physical,cause,
1134,physical,lexical,
1134,physical,cause,
1288,physical,cause,
1288,physical,lexical,
1204,physical,cause,
1204,physical,lexical,
1242,physical,cause,
1242,physical,lexical,
1234,physical,cause,
1234,physical,lexical,
1302,physical,lexical,
1302,physical,cause,
1246,physical,lexical,
1246,physical,cause,
1092,physical,cause,
1092,physical,lexical,
1283,physical,lexical,
1283,physical,cause,
1147,physical,lexical,
1147,physical,cause,
1151,physical,lexical,
1151,physical,cause,
1184,physical,lexical,
1184,physical,cause,
1108,physical,lexical,
1108,physical,cause,
1197,physical,lexical,
1197,physical,cause,
1278,physical,cause,
1278,physical,lexical,
1158,physical,lexical,
1158,physical,cause,
1263,physical,lexical,
1263,physical,cause,
1172,physical,lexical,
1172,physical,cause,
1307,physical,cause,
1307,physical,lexical,
1178,physical,cause,
1178,physical,lexical,
1192,physical,cause,
1192,physical,lexical,
